Codigo/SKU;Descricao;Estoque MGV;Estoque Bling;Diferenca Saldo;NCM MGV;NCM Bling;Preco MGV (R$);Preco Bling (R$);Status;Diagnostico Divergencias
"3027065";"ADESIVO PAINEL SONOPULSE COMPACT (10/11)  (VENDAS)                               NS: 0000000030";4;0;4;"39199090";"";0.00;117.21;"QTY_DIVERGENCE";"Estoque divergente: MGV (4) vs Bling (0) [Dif: +4] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 117.21)"
"3027198";"ADESIVO PAINEL SONOPULSE I E III";3;0;3;"39199090";"";0.00;250.80;"QTY_DIVERGENCE";"Estoque divergente: MGV (3) vs Bling (0) [Dif: +3] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 250.80)"
"3027057";"ADESIVO PAINEL SONOPULSE II";4;0;4;"39199090";"";0.00;1.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (4) vs Bling (0) [Dif: +4] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 1.00)"
"3027190";"ADESIVO PAINEL SONOPULSE III (03/13)                                             NS: 0000000130";0;0;0;"39199090";"";130.00;130.00;"FISCAL_DIVERGENCE";"NCM divergente: MGV (39199090) vs Bling (Não preenchido)"
"3027064";"ADESIVO PAINEL SONOPULSE III - (10/11)                                           NS: 0000000025";4;0;4;"39199090";"";0.00;89.55;"QTY_DIVERGENCE";"Estoque divergente: MGV (4) vs Bling (0) [Dif: +4] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 89.55)"
"3027608";"ADESIVO PAINEL SONOPULSE III - VS 2";11;0;11;"39199090";"";130.00;130.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (11) vs Bling (0) [Dif: +11] | NCM divergente: MGV (39199090) vs Bling (Não preenchido)"
"3027264";"ADESIVO PAINEL THERMOPULSE SOLID STATE - VS. 01/14                               NS: 0000000025";1;0;1;"39199090";"";0.00;194.27;"QTY_DIVERGENCE";"Estoque divergente: MGV (1) vs Bling (0) [Dif: +1] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 194.27)"
"ADPAI011.00 ";"ADESIVO PAINEL ULTRA DERM CONTROL";5;0;5;"39199090";"";0.00;196.74;"QTY_DIVERGENCE";"Estoque divergente: MGV (5) vs Bling (0) [Dif: +5] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 196.74)"
"ADPAI012.00 ";"ADESIVO PAINEL ULTRA DERM SPRAY ";1;0;1;"35069190";"";0.00;153.72;"QTY_DIVERGENCE";"Estoque divergente: MGV (1) vs Bling (0) [Dif: +1] | NCM divergente: MGV (35069190) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 153.72)"
"3027752";"ADESIVO PAINEL VEGA                                                              NS: 0000000009";2;0;2;"39199090";"";0.00;155.09;"QTY_DIVERGENCE";"Estoque divergente: MGV (2) vs Bling (0) [Dif: +2] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 155.09)"
"03027768";"ADESIVO PARA ESPACADOR 20MM  Ns: 0000000018";0;0;0;"39199090";"";4.59;4.59;"FISCAL_DIVERGENCE";"NCM divergente: MGV (39199090) vs Bling (Não preenchido)"
